项目名称,项目类型,发布日期,截止日期,联系人,网页URL
开展AI课程示范课建设,其他,2025年05月23日,,李老师,https://www.dufe.edu.cn/content_91939.html
开展2025-2026学年第一学期混合式教学申报,课题申报,2025年05月23日,,张老师,https://www.dufe.edu.cn/content_91938.html
申报辽宁省社科联辽宁红色“六地”中廉洁基因理论研究专项委托课题,课题申报,2025年05月22日,2025年05月28日,刘强、李嘉煜,https://www.dufe.edu.cn/content_91919.html
东北财经大学第三届“汪祥春经济学奖”评奖公告,其他,2025年05月20日,,,https://www.dufe.edu.cn/content_91839.html
申报2025年度辽宁省社会安全研究课题,课题申报,2025年05月20日,2025年05月28日,刘强、战宇,https://www.dufe.edu.cn/content_91838.html
填报2024-2025学年第二学期教师教学工作量,其他,2025年05月15日,,李广宏,https://www.dufe.edu.cn/content_91731.html
经济责任审计公示,其他,2025年05月14日,,,https://www.dufe.edu.cn/content_91714.html
第九届全国高校国际贸易学科协作组青年论坛暨2025博士生论坛会议通知,其他,2025年05月13日,,,https://www.dufe.edu.cn/content_91684.html
申报2025年辽宁省自然科学基金计划博士科研启动项目入库,课题申报,2025年05月12日,2025年05月19日,刘强、战宇,https://www.dufe.edu.cn/content_91662.html
2025年上半年毕业研究生提交学位论文,其他,2025年05月09日,,李辉,https://www.dufe.edu.cn/content_91627.html
严明“五一”、端午节日期间纪律要求,其他,2025年04月29日,,,https://www.dufe.edu.cn/content_91520.html
申报2025年度全国教育科学规划教育考试研究专项,课题申报,2025年04月29日,2025年05月22日,刘强、战宇,https://www.dufe.edu.cn/content_91519.html
申报2025年度全国教育科学规划学科建设与研究生培养研究专项,课题申报,2025年04月29日,2025年05月22日,刘强、战宇,https://www.dufe.edu.cn/content_91518.html
申报2025年度全国教育科学规划中国教育法治与全球教育治理研究专项,课题申报,2025年04月29日,2025年05月22日,刘强、战宇,https://www.dufe.edu.cn/content_91517.html
申报2025年度全国教育科学规划终身教育体系研究专项,课题申报,2025年04月29日,2025年05月22日,刘强、战宇,https://www.dufe.edu.cn/content_91516.html
申报2025年度全国教育科学规划高校毕业生就业研究专项,课题申报,2025年04月29日,2025年05月22日,刘强、战宇,https://www.dufe.edu.cn/content_91515.html
申报2025年全国教育科学规划年度项目,课题申报,2025年04月29日,2025年05月22日,刘强、战宇,https://www.dufe.edu.cn/content_91512.html
申报2025年度国家社科基金教育学重大项目,课题申报,2025年04月29日,2025年05月27日,刘强、战宇,https://www.dufe.edu.cn/content_91504.html
申报2025年度辽宁省财政科研基金项目,课题申报,2025年04月29日,2025年05月15日,刘强、战宇,https://www.dufe.edu.cn/content_91503.html
2025年度校级本科教学改革研究项目立项申报,课题申报,2025年04月17日,,,https://www.dufe.edu.cn/content_91157.html
申报2025年度国家社科基金中华学术外译项目,课题申报,2025年04月17日,,刘强、战宇,https://www.dufe.edu.cn/content_91156.html
申报2025年度东北财经大学服务辽宁全面振兴揭榜挂帅研究项目,课题申报,2025年04月02日,,刘强、战宇、李嘉煜,https://www.dufe.edu.cn/content_90687.html
申报大连市社科联2025年度研究课题,课题申报,2025年03月28日,2025年04月20日,刘强、李嘉煜,https://www.dufe.edu.cn/content_90601.html
​举办第十届风险灾害危机多学科论坛（第一轮）,其他,2025年03月28日,2025年05月31日,,https://www.dufe.edu.cn/content_90596.html
申报2025年辽宁省自然科学基金计划面上项目,课题申报,2025年03月28日,2025年04月11日,刘强、战宇,https://www.dufe.edu.cn/content_90594.html
第二届国际商务专业学位研究生国际贸易融资竞赛通知,其他,2025年03月20日,,,https://www.dufe.edu.cn/content_90328.html
东北财经大学科研机构高质量开展学术活动,其他,2025年03月18日,,,https://www.dufe.edu.cn/content_90288.html
东北财经大学“科研智能问答助手”正式上线运行,其他,2025年02月24日,,战宇,https://www.dufe.edu.cn/content_89571.html
第十七届全国青年管理科学与系统科学学术会议通知,其他,2025年02月21日,,,https://www.dufe.edu.cn/content_89537.html
公布2023年度东北财经大学廉洁教育工作创新项目结项名单和2024年度东北财经大学廉洁教育示范项目立项名单,其他,2025年01月14日,,,https://www.dufe.edu.cn/content_89421.html
公布2024及以前年度校级教学改革研究项目结题验收结果,项目结题,2025年01月12日,,,https://www.dufe.edu.cn/content_89403.html
东北财经大学“硕士1+1项目”招生简章,其他,2025年01月10日,,,https://www.dufe.edu.cn/content_89364.html
征集2026年度国家自然科学基金区域创新发展联合基金申报指南建议,课题申报,2025年01月10日,2025年02月23日,刘强、战宇,https://www.dufe.edu.cn/content_89363.html
东北财经大学图书馆2024年度个人阅读报告发布通知,其他,2025年01月03日,,,https://www.dufe.edu.cn/content_89258.html
推荐我校优秀本科毕业生攻读英国奥斯特大学博士研究生项目的招生通知,其他,2024年12月31日,,图娅,https://www.dufe.edu.cn/content_89210.html
公布2024年度产学合作协同育人项目立项名单,其他,2024年12月18日,,,https://www.dufe.edu.cn/content_88975.html
辽宁省2025年度选调应届优秀大学毕业生工作公告,其他,2024年12月17日,,,https://www.dufe.edu.cn/content_88942.html
启用“校友就业再出发”功能模块,其他,2024年11月14日,,,https://www.dufe.edu.cn/content_87916.html
申报“研究阐释党的二十届三中全会精神”校级项目,课题申报,2024年08月02日,2025年08月30日,刘强、战宇,https://www.dufe.edu.cn/content_85435.html
